Designator,Mid X,Mid Y,Rotation,Layer
C1,70.5,40.0,90.0,top
C2,84.0,39.0,90.0,top
C3,87.0,39.0,90.0,top
D1,133.0,35.0,0.0,top
H1,59.0,42.0,0.0,top
IN1,4.73,22.175,0.0,top
J1,24.73,22.175,0.0,top
J2,45.73,22.175,0.0,top
J3,66.73,22.175,0.0,top
J4,87.73,22.175,0.0,top
J5,108.73,22.175,0.0,top
J6,129.73,22.175,0.0,top
J7,150.73,22.175,0.0,top
J8,171.73,22.175,0.0,top
J9,139.025,45.5,-90.0,top
R1,92.5,39.0,180.0,top
R2,92.5,41.5,0.0,top
R3,137.5,35.0,0.0,top
RV1,6.6,28.0,0.0,top
U1,77.5,39.0,0.0,top
U10,142.0,12.54,-90.0,top
U11,163.0,12.54,-90.0,top
U2,34.0,37.0,0.0,top
U3,156.0,36.0,0.0,top
U4,16.0,12.54,-90.0,top
U5,37.0,12.54,-90.0,top
U6,58.0,12.54,-90.0,top
U7,79.0,12.54,-90.0,top
U8,100.0,12.54,-90.0,top
U9,121.0,12.54,-90.0,top
X1,126.0,42.0,-90.0,top
X2,116.0,42.0,-90.0,top
X3,99.2475,41.545,0.0,top
